Database,ProductCount,Endpoint,ClientCount,TotalQmph,Qps-1,Qps-2,Qps-3,Qps-4,Qps-5,Qps-6,Qps-7,Qps-8,Qps-9,Qps-10,Qps-11,Qps-12
mssql,200000,ontop,16,394.63,9.64,1.71,0.38,4.44,4.19,,3.37,14.02,33.28,7.01,2.51,14.52
mysql,500000,db,1,91.55,11.68,1031.48,11.98,11.42,0.05,,122.70,428.77,979.95,180.76,1733.29,1658.70
mssql,100000,ontop,1,394.70,4.87,2.87,0.44,2.13,2.45,,3.77,10.50,3.70,9.39,1.69,8.41
mssql,1000,ontop,8,6941.53,66.24,41.18,27.71,28.96,39.75,,59.33,81.86,57.00,92.46,27.69,58.46
mssql,100000,ontop,16,638.81,9.25,4.33,0.60,3.84,4.77,,4.59,14.04,19.48,10.85,3.41,12.01
mssql,10000,ontop,16,3695.21,36.19,21.27,14.01,17.23,22.80,,31.43,59.79,25.21,58.41,13.50,51.01
mysql,10,ontop,4,25732.04,96.76,196.74,39.25,42.59,485.63,,332.61,320.34,535.62,551.05,99.18,152.79
mssql,500000,ontop,8,193.48,6.38,0.60,0.25,2.95,1.96,,2.72,17.72,19.03,4.04,1.26,10.03
mysql,10000,ontop,2,1585.12,40.81,23.29,0.79,18.68,14.03,,38.08,58.50,18.68,71.51,8.66,44.04
mysql,10000,db,16,8269.37,2389.72,2269.31,2582.48,2013.70,4.68,,1577.44,4477.44,7486.22,8560.84,10721.23,21875.90
none,10000,virtuoso,1,15601.53,191.27,80.10,161.39,60.91,121.29,,76.06,99.63,534.99,103.00,439.36,103.45
none,100,virtuoso,32,39955.61,328.59,222.18,258.51,173.75,266.89,,243.96,325.25,502.08,305.31,434.49,280.16
mssql,100000,ontop,8,639.43,10.38,4.00,0.63,4.68,4.59,,5.36,15.74,11.93,12.59,2.86,12.85
